﻿频道名,地址,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件,检测时间,状态码,ffprobe是否成功,视频编码,帧率,音频,ffprobe探测时间,fake_score,loop_score
CCTV14,https://www.freetv.top/migu/624878440.m3u8?migutoken=b1f130236741614ca1eaccd92217632731b3c3c0d831bbb7a25004e2ed6d8570b8de27efe2abc85d27a26651d421475c7d50ad99aa55c4aaf55222863fd9d0c80e6d6cf7b8ed52ec2e6cebdd95,,,,,,,1920x1080,CCSH.txt,766,200,成功,h264,30.0,有音频,0.842,140,116
CCTV13,https://stream1.freetv.fun/9c5ea1afac03f4018fa46799d1f2788950a59bfae9a3e5a6ce8ff257eea05c41.m3u8,,,,,,,1280x720,CCSH.txt,7,403,成功,h264,25.0,有音频,1.443,156,128
CCTV7,https://ldocctvwbcdtxy.liveplay.myqcloud.com/ldocctvwbcd/cdrmldcctv7_1_td.m3u8,,,,,,,1280x720,CCSH.txt,3033,200,成功,h264,25.0,有音频,4.228,119,97
CCTV14,https://stream1.freetv.fun/810e8e594bbd7f110f164ca1f3297900a5be91468d81db0d55494d7a6f79eb19.m3u8,,,,,,,1920x1080,CCSH.txt,7,403,成功,h264,25.0,有音频,0.550,8,8
CCTV17,http://go.bkpcp.top/mg/cctv17,,,,,,,1280x720,CCSH.txt,19,403,成功,h264,25.0,有音频,3.593,8,8
CCTV17,https://www.freetv.top/migu/673168256.m3u8?migutoken=04374bdde2e4223798159ce189b302c8599b8bb84f8d8f3cbd0adbfc1b53ae5f4a89e00409ced1e0b5b37757ed87e5ce46cab61a18a42b67837b361003b0783f61b66a24877938993b4f7a2b50,,,,,,,1920x1080,CCSH.txt,869,200,成功,h264,30.0,有音频,1.753,156,128
CCTV8,https://www.freetv.top/migu/624878356.m3u8?migutoken=45e1223de8d63b87eeb20d81c0f3b54f9ae9d05c04c31dd7cd16e34dfb7e87e89af131f9f770926ca52aa06ab7e7813505da9344e1536c4e9b912e68832036d923942711ce5a54ba8d39e2db5f,,,,,,,1920x1080,CCSH.txt,234,200,成功,h264,30.0,有音频,1.307,140,116
CCTV12,https://stream1.freetv.fun/2c98c616dcd0625e1925f95296d9a84fa33e6837825cc93edd4ec07f6d4b6ac0.m3u8,,,,,,,1920x1080,CCSH.txt,6,403,成功,hevc,25.0,有音频,10.750,16,12
CCTV12,https://www.freetv.top/migu/673168185.m3u8?migutoken=ca060ebeb7798a2bd7e8b8cb4143386b12a2629519220accd5fd0a77a147ab06630fd8cf65f82517ba9db18cc4b5c5edf350c0734fdddbc216781b9944d8e7eaf326bac636110e27fcd980f4e2,,,,,,,1920x1080,CCSH.txt,251,200,成功,h264,30.0,有音频,0.895,140,116
CCTV10,https://www.freetv.top/migu/624878405.m3u8?migutoken=c9f89ca38aecd9efd7438d02f07aae1d622407222b2143b84ac81a0b8046d4edf31dff9b382a346f7ec0e11cfbe4780dc7b671024edc7d941d9f8e52bc23439b00a4cd935c472de660659d90ae,,,,,,,1920x1080,CCSH.txt,231,200,成功,h264,30.0,有音频,0.747,128,104
CCTV10,https://stream1.freetv.fun/3025f062afb1cb23784f5ffdfaa4ff243b2d34cbaa22fc930a83afefea1b644d.m3u8,,,,,,,1280x720,CCSH.txt,6,403,成功,h264,25.0,有音频,1.219,156,128
CCTV16,https://stream1.freetv.fun/87de3fae6db73a08904421488de7b0ba39e5eccf12a85ec47f8ccfb0985d2fa7.m3u8,,,,,,,1280x720,CCSH.txt,7,403,成功,h264,25.0,有音频,1.234,156,128
CCTV15,https://stream1.freetv.fun/7a469fc9c2460ee4606dd25f46d797d9a4b1c87000b56107eb7d99ec9a093c1c.m3u8,,,,,,,1280x720,CCSH.txt,5,403,成功,h264,25.0,有音频,1.229,156,128
CCTV9,http://111.221.137.234:44330/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0,,,,,,,1280x720,CCSH.txt,251,200,成功,h264,25.0,有音频,2.068,38,32
CCTV15,https://iptv.catvod.com/live.php?id=CCTV-15,,,,,,,1920x1080,CCSH.txt,877,200,成功,h264,30.0,有音频,0.569,156,128
CCTV15,https://stream1.freetv.fun/932e62bcafc868cc1eaff14be17c9daf412a1f5c2cd1b29b2d494bf07c6d5857.m3u8,,,,,,,1280x720,CCSH.txt,17,403,成功,h264,25.0,有音频,1.204,156,128
CCTV17,https://stream1.freetv.fun/449874b3e1a98f0960a43b24a6c3625aa31c794fb9efcddc8c782a9566e84553.m3u8,,,,,,,1280x720,CCSH.txt,5,403,成功,h264,25.0,有音频,1.246,156,128
CCTV9,https://www.freetv.top/migu/609006487.m3u8?migutoken=aa6b7733654f88e6bc50f2966887b2eb428623c5d6d66fe9d0fc7de43f9aa6a724f12ec1f0d65aae1c1decba5cd1444cbdea8c24adbc56c5a79a1dbd2828e6deb293dace8a518080d5d1f0cb2b,,,,,,,1920x1080,CCSH.txt,229,200,成功,h264,30.0,有音频,1.031,156,128
CCTV12,https://stream1.freetv.fun/f413444f457880c1a54a406268022be7f3af3d735d544c8eb9ce02d882acadde.m3u8,,,,,,,1280x720,CCSH.txt,5,403,成功,h264,25.0,有音频,1.246,156,128
CCTV9,https://stream1.freetv.fun/d679147e93998024df6b15ec6ed8bb75dc84568fd0ef46e20df4882a00ed1200.m3u8,,,,,,,1280x720,CCSH.txt,5,403,成功,h264,25.0,有音频,1.228,156,128
CCTV12,https://www.freetv.top/migu/673168185.m3u8?migutoken=40766e9859972e6ae171d58afa7e850faae4246a22bcbd157d273c1bd3b350c0a628f5bf360a7db1d2783c2aadcb2234c9655b4da63085bdef253dcca0b0c76b5ac80d0f95782b3b7bd4a0e881,,,,,,,1920x1080,CCSH.txt,239,200,成功,h264,30.0,有音频,1.203,140,116
CCTV11,https://www.freetv.top/migu/667987558.m3u8?migutoken=6f0aba8bb528e29d40340f6930899fd9d7af9fd013c355a61146d5528e6ac297c46d65935ffcea640455737c324736dd8a29f22083f5450155873c9e89d3a4fb8b6b92b897a7dc62ad55fd891d,,,,,,,1920x1080,CCSH.txt,243,200,成功,h264,30.0,有音频,0.972,140,116
CCTV13,https://stream1.freetv.fun/fc94bc81376ea01b8f79faa66d741ce809a9c806fdaa6b310ff275e5792e2195.m3u8,,,,,,,1280x720,CCSH.txt,7,403,成功,h264,25.0,有音频,1.417,156,128
湖南卫视,https://stream1.freetv.fun/a1bdb73d7739fce77368508dc82aff2bf83a73441468e548a9004f0763f6cb35.m3u8,,,,,,,1280x720,CCSH.txt,6,403,成功,h264,25.0,有音频,1.231,156,128
CCTV8,https://stream1.freetv.fun/16ce7a79d2fb02653cbbd81553872390bc8910f5054969356170ae99c2f175fe.m3u8,,,,,,,1280x720,CCSH.txt,6,403,成功,h264,25.0,有音频,1.264,156,128
CCTV8,https://stream1.freetv.fun/1f59b75f4959b505bb081a3ce8ae81372431e7ebccf9d9139416d0148e0ad0cc.m3u8,,,,,,,1280x720,CCSH.txt,6,403,成功,h264,25.0,有音频,1.218,156,128
CCTV15,https://www.freetv.top/migu/673168223.m3u8?migutoken=da6d2f0a50c0d2ccf5830584134b017533f7cff9f8483f5d99db04942d1fb2e65f1ee80072875ff98602f2953980c392524de2229b370059832da0fcdc26f899851f1166d08673d4747acd9f8a,,,,,,,1920x1080,CCSH.txt,872,200,成功,h264,30.0,有音频,0.765,156,128
CCTV9,https://stream1.freetv.fun/128ea6b04cff33dbffbf59ea1859f049f54857d25095576396f7311973a463e9.m3u8,,,,,,,1280x720,CCSH.txt,6,403,成功,h264,25.0,有音频,1.237,156,128
CCTV9,https://www.freetv.top/migu/673168140.m3u8?migutoken=9cebd017730e6020100052694015764931490d9ade0a92839f3198d104590414f3e93626dcf6f49b091a21735b592dc818723022c59d669f301e707c1ec905675a758fc939301e086d4569e77d,,,,,,,1920x1080,CCSH.txt,240,200,成功,h264,30.0,有音频,0.897,140,116
CCTV8,https://www.freetv.top/migu/624878356.m3u8?migutoken=a5eae829671ac326f37a16f65535b257f90b8bda77984094ab1ccd94b6ef5e7ff48889c5a21a84f1150dfd3a6e390047ac48c3f964608c11a0dfcdfadb1d36607b4f2f6fccd07ed9bdbd92a98e,,,,,,,1920x1080,CCSH.txt,234,200,成功,h264,30.0,有音频,0.737,128,104
CCTV7,https://www.freetv.top/migu/673168121.m3u8?migutoken=574d7f499abe28260750cc94be57fac402b5f84b72ecb907cf459ce8d58381c92f1a7208e1b83a752dcb0500c1839caea4e4747510bac25b9090fa959b172ce5389a900b4612dde9e9d594cf2e,,,,,,,1920x1080,CCSH.txt,873,200,成功,h264,30.0,有音频,0.808,140,116
CCTV12,https://migu.188766.xyz/?migutoken=dad8424fa9e7b8f4817f5128ef909332&id=CCTV12&type=yy,,,,,,,1920x1080,CCSH.txt,128,403,成功,h264,28.0,有音频,0.522,144,116
CCTV12,https://stream1.freetv.fun/b91ab570797be93e5b35ff265d6af775a03ec73df9cedc59ea26a45eddacd474.m3u8,,,,,,,1280x720,CCSH.txt,8,403,成功,h264,25.0,有音频,1.227,156,128
CCTV17,https://www.freetv.top/migu/673168256.m3u8?migutoken=9094be8a5828bcdca0c02d6805bd52cc36e4d16a29031a320eaed60d6d74d5b36653a81c659450938ab30e91f4b27468f176d304463164c178f446ff6d44d623dd787da315c58de6d4d0010bb1,,,,,,,1920x1080,CCSH.txt,881,200,成功,h264,30.0,有音频,0.980,140,116
CCTV7,https://www.freetv.top/migu/673168121.m3u8?migutoken=3253222269368c440aa1d23dba86c186a7b73abdea3890faf72e3d720844f8f1d3adc2b18ed047dbb3eff1a6c5d9379fad37d1f8a380d0e7c69e9ad6eb41709cf92077125fc0bded4cfd47808b,,,,,,,1920x1080,CCSH.txt,240,200,成功,h264,30.0,有音频,0.782,128,104
CCTV4K,http://38.75.136.137:98/gslb/dsdqpub/cctv4k.m3u8?auth=testpub,,,,,,,1280x720,CCSH.txt,72,200,成功,h264,50.0,有音频,0.269,8,8
CCTV14,https://stream1.freetv.fun/7a42973d6e3495dad1947ccb2140ac18928fb59a2964dd0c15b6cedcb3525ee3.m3u8,,,,,,,1280x720,CCSH.txt,6,403,成功,h264,25.0,有音频,1.430,156,128
CCTV12,https://iptv.catvod.com/live.php?id=CCTV-12,,,,,,,1920x1080,CCSH.txt,73,200,成功,h264,30.0,有音频,0.636,156,128
CCTV15,https://www.freetv.top/migu/673168223.m3u8?migutoken=ecd60d6a580d9f4027ec08213b2a5beffae7f99e3e556123f72b08c8d0bedb77620cbbc5d72108ff458b15f605abc992ccdc991b35dd34802a57ca114b8f7875c9bce1ddfe5bd6775f12be875a,,,,,,,1920x1080,CCSH.txt,881,200,成功,h264,30.0,有音频,0.922,140,116
CCTV15,https://stream1.freetv.fun/3cd5992c0bc678290fbfb3ea5c9e3ae07fde910fecbb9119dec4ef12ecd4a717.m3u8,,,,,,,1280x720,CCSH.txt,18,403,成功,h264,25.0,有音频,1.225,156,128
CCTV13,https://epg.pw/stream/5d3d047c64e44d0a24dc33e5700e579457201d2960036b43819bd930a0bb76a7.m3u8,,,,,,,1280x720,CCSH.txt,812,200,成功,h264,25.0,有音频,1.367,156,128
CCTV9,https://www.freetv.top/migu/673168140.m3u8?migutoken=21079ccc296663c0852d7aa559706185d47321c401459ef6e4d341547dda558accb1b561b9935ba84cc9506d0ad03b0489b131d25c50278952093cf2b5b7913fb43c8c0effa57085fdad555379,,,,,,,1920x1080,CCSH.txt,241,200,成功,h264,30.0,有音频,0.945,140,116
CCTV15,https://stream1.freetv.fun/9468f468da387b3906c9bd04ab159a106300904620ddaea7f59915fe199cfcef.m3u8,,,,,,,1280x720,CCSH.txt,6,403,成功,h264,25.0,有音频,1.228,156,128
CCTV10,https://stream1.freetv.fun/fec45b2900e5d858cb7375e33af1adf63d089424e7d37955bb3b957ce7239f60.m3u8,,,,,,,1280x720,CCSH.txt,5,403,成功,h264,25.0,有音频,1.200,156,128
CCTV10,https://www.freetv.top/migu/624878405.m3u8?migutoken=07b6e1d4124dd85ca8138b8d8dcd646323952053748d7d5ac0a2b31dcb6626c605fb05470545bd0f7e0d23e807e6909b517b2b8b5e2eaa926600edaa15d80aee9b900245924108c86040411cd4,,,,,,,1920x1080,CCSH.txt,252,200,成功,h264,30.0,有音频,0.934,140,116
湖南卫视,https://stream1.freetv.fun/95c362f9fa908fd8a2eb7b94303c480dd99e8de01244cb72ba5a85dcbc121437.m3u8,,,,,,,1280x720,CCSH.txt,7,403,成功,h264,25.0,有音频,1.216,156,128
CCTV14,https://www.freetv.top/migu/624878440.m3u8?migutoken=eaad08d0bfccf8c4382ff1f2e3c2f769c6d62fb1cda8b24b779b43b56eec4ac7a432e4bef55fc474d155a75d510d7ffeb41877414dd28a33953b642091bb06529b0e6d5af63a21c4c707a84d57,,,,,,,1920x1080,CCSH.txt,778,200,成功,h264,30.0,有音频,0.750,156,128
CCTV11,https://stream1.freetv.fun/45924a133f951974f16567235e54151d56b5a41ab7cae3866a9e79a8d366cd09.m3u8,,,,,,,1280x720,CCSH.txt,5,403,成功,h264,25.0,有音频,1.992,156,128
CCTV11,https://www.freetv.top/migu/667987558.m3u8?migutoken=b64f3a361e8074b39bbbad35bdf17e43f722bcfa61647fe1ac137ea76cd90f034c1ab08fffb962f33c8dbe34b78847898aa262bf4eb0da6bbe3ef3975c49ee67fa1049054ac575c70a5fe5836e,,,,,,,1920x1080,CCSH.txt,246,200,成功,h264,30.0,有音频,0.983,8,8
CCTV13,https://stream1.freetv.fun/069b3db18ed7e22abd36bc19d185900fc7b42b88e7ffb7c04bbec2300ed1aada.m3u8,,,,,,,1280x720,CCSH.txt,15,403,成功,h264,25.0,有音频,1.212,156,128
CCTV12,https://stream1.freetv.fun/324e6aa1dded3b4f9b181969fad75b68afe050090a40010aba5b8eb9cf1493a2.m3u8,,,,,,,1280x720,CCSH.txt,19,403,成功,h264,25.0,有音频,1.201,156,128
CCTV7,https://migu.188766.xyz/?migutoken=3c91fa9ea0cc78e41de7b5fb8e66f2d3&id=CCTV7&type=yy,,,,,,,1920x1080,CCSH.txt,59,403,成功,h264,28.0,有音频,0.527,144,116
CCTV8,https://stream1.freetv.fun/ae4670e4adf468468cf9116e204824e2c0963be9e2f3add26d7ba7f6861f6d44.m3u8,,,,,,,1280x720,CCSH.txt,7,403,成功,h264,25.0,有音频,1.437,156,128
CCTV14,https://stream1.freetv.fun/613e64a45ba786d982adb7fa23ecc25c943fada1e41054da62120b55ede05fb9.m3u8,,,,,,,1280x720,CCSH.txt,6,403,成功,h264,25.0,有音频,1.454,156,128
CCTV14,http://www.freetv.top/migu/624878440.m3u8?migutoken=303d044cf07163e1e2e8e4ecc8b6696ed836301cf573b626d3c00ec50cd362cc5e6a93afc2fd102cb883155554597d14eaa697edc9b0a30e56fc0115f81d8fbb8b87129e5bedad7d2173178f03,,,,,,,1920x1080,CCSH.txt,984,200,成功,h264,30.0,有音频,1.138,156,128
CCTV15,https://stream1.freetv.fun/b6471612ff93f473cb2ee91c3ff6906679d13069d317af4fb516e0002bbd32bb.m3u8,,,,,,,1280x720,CCSH.txt,6,403,成功,h264,25.0,有音频,1.214,156,128
CCTV11,https://iptv.catvod.com/live.php?id=CCTV-11,,,,,,,1920x1080,CCSH.txt,74,200,成功,h264,30.0,有音频,0.648,156,128
CCTV13,https://iptv.catvod.com/live.php?id=CCTV-13,,,,,,,1920x1080,CCSH.txt,919,200,成功,h264,30.0,有音频,0.736,156,128
CCTV11,http://111.221.137.155:44330/tsfile/live/0011_1.m3u8?key=txiptv,,,,,,,1280x720,CCSH.txt,239,200,成功,h264,25.0,有音频,2.191,16,12
CCTV14,https://stream1.freetv.fun/ebff23b3b373ed72ca39c3a25715fec761f64c20fd8a02fbbbba989df0e96918.m3u8,,,,,,,1280x720,CCSH.txt,6,403,成功,h264,25.0,有音频,1.408,156,128
CCTV12,https://stream1.freetv.fun/bc0c57f3ba2aafe4da0f9f2d7ab1daaa00b01f677be68a5bc68c11171cc3b6ca.m3u8,,,,,,,1280x720,CCSH.txt,7,403,成功,h264,25.0,有音频,1.211,156,128
CCTV15,http://111.221.137.234:44330/tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0,,,,,,,1280x720,CCSH.txt,251,200,成功,h264,25.0,有音频,2.045,8,8
CCTV12,http://124.165.251.82:85/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0#http://112.27.235.94:8000/hls/13/index.m3u8#http://60.16.0.216:5757/hls/13/index.m3u8,,,,,,,1920x1080,CCSH.txt,524,200,成功,h264,50.0,有音频,3.645,16,12
CCTV13,https://stream1.freetv.fun/6cc8f4fde2a46e1219682cea55cbeb311805fc0deb26d82777f1dcac09e2d82d.m3u8,,,,,,,1280x720,CCSH.txt,22,403,成功,h264,25.0,有音频,1.432,156,128
CCTV10,https://www.freetv.top/migu/624878405.m3u8?migutoken=cdd677bf376d3c88ad570a045459ef0e4297b0711bb8efa426e16b4c0d069c853fdc539b08e8af8014b7362ec2443685fa9b75e5e55c425a2700ddd298bb7a0a104c8e034135b4f2456d0c26ca,,,,,,,1920x1080,CCSH.txt,253,200,成功,h264,30.0,有音频,7.750,140,116
CCTV7,https://www.freetv.top/migu/673168121.m3u8?migutoken=39f299ba0d4c0dd00c89550497da4b7b2de0752f52a9831160904f0fa48d0e4f14936c2d2e794d39ef3d9fec119c22460c845abc4c1f894d73f27e21754ec4a1aec51a4285c036e5a6febf8b71,,,,,,,1920x1080,CCSH.txt,247,200,成功,h264,30.0,有音频,7.089,140,116
CCTV12,https://www.freetv.top/migu/673168185.m3u8?migutoken=ff6a5a89e6ad0f73cd78424df3be0abe3743e8bbd37698f2dcee8ece0d6ffbe0c1205c704c08924958889799dcc66d9333f4273e5dc9ead670713fd2b2292e201873fb66020ec85899c7bd2a05,,,,,,,1920x1080,CCSH.txt,716,200,成功,h264,30.0,有音频,7.320,140,116
CCTV8,https://www.freetv.top/migu/624878356.m3u8?migutoken=6711ae6ca5509da380a6a30bd995047b1ae797583ca2dd0083a8d8b8bb2ba6fa3bb6b0bc233433fe5d323af8082c0dd1ac77b23d96c0acf9f2a70a565ee34dd210938f6eb56ca096b8f5d739d8,,,,,,,1920x1080,CCSH.txt,241,200,成功,h264,30.0,有音频,0.885,140,116
CCTV15,https://www.freetv.top/migu/673168223.m3u8?migutoken=405252f2e3e9d074b85a6b084bcc54894e3604d659e5fa911942b535a440184d991c0321451bca103d1a5bdc6ccf61193bdfbcc62bef28f759dd6e6d50ec34cda80794148cd2eac1ed6b17bc0d,,,,,,,1920x1080,CCSH.txt,265,200,成功,h264,30.0,有音频,7.849,140,116
CCTV15,https://stream1.freetv.fun/cb0830411664d3a45e05be072d306112a721a039769417366bdd74bf4ca41329.m3u8,,,,,,,1280x720,CCSH.txt,9,403,成功,h264,25.0,有音频,1.227,156,128
CCTV15,https://www.freetv.top/migu/673168223.m3u8?migutoken=50dc3ccc2d27d7a93259df8360e0b3d4440519a8a4f9c636cce2d1bab0ddd72f5ecd496a69a4292eca1015e4c44727f9a6ee935a536f0720d3b21bee7f1c53aab112b3ab2e6aeb9982837ab99a,,,,,,,1920x1080,CCSH.txt,245,200,成功,h264,30.0,有音频,0.741,156,128
CCTV13,https://www.freetv.top/migu/608807423.m3u8?migutoken=776326ca258673fca618a4f3a2ff6e001516e1bd1de00a273f9321b167eace944b1fea149e58d9f61f99fdcb505524330bcadd896ad46e9264a6c57fcd05b0e7b924e3462804a5228697c43f3f,,,,,,,1920x1080,CCSH.txt,249,200,成功,h264,30.0,有音频,8.079,140,116
CCTV15,http://yp.qqqtv.top/1/api.php?id=CCTV-15HD&auth=666858,,,,,,,1920x1080,CCSH.txt,936,200,成功,h264,25.0,有音频,0.981,8,8
CCTV11,https://stream1.freetv.fun/0873471d1f3080eb9ba37ba7d0b57b5c8ec5fc1ff0bf01cf76e8377d5dde63b9.m3u8,,,,,,,1280x720,CCSH.txt,102,403,成功,h264,25.0,有音频,1.225,156,128
CCTV10,https://stream1.freetv.fun/0097d6d3aaaae0d7ba50b88694af9eedac6c2c47f58f439b7df562d5d69db3b1.m3u8,,,,,,,1280x720,CCSH.txt,7,403,成功,h264,25.0,有音频,1.207,156,128
CCTV12,https://stream1.freetv.fun/42db57df2f3a527d3d4b1ae87be77b20322d9240d4337b0f15bcae2a25717083.m3u8,,,,,,,1280x720,CCSH.txt,101,403,成功,h264,25.0,有音频,1.222,156,128
CCTV15,https://stream1.freetv.fun/9350a599d0593a4eb692e9a5c26a4b0777dc9758db460b4e02a9ffa970765999.m3u8,,,,,,,1280x720,CCSH.txt,8,403,成功,h264,25.0,有音频,1.216,156,128
CCTV12,https://stream1.freetv.fun/87253b3afaea039178ade58ec1a91b1e62964839905c18240f5e1ee7bb8c7e20.m3u8,,,,,,,1280x720,CCSH.txt,5,403,成功,h264,25.0,有音频,1.235,156,128
CCTV11,https://stream1.freetv.fun/37b1c14c3378e510bd07d553a1abcca238f13e040b5b0419b3ece2c9d4f50efd.m3u8,,,,,,,1280x720,CCSH.txt,103,403,成功,h264,25.0,有音频,1.213,156,128
CCTV9,https://stream1.freetv.fun/21a84c616496dfbb175a898f5d41b9ae02235ef2138fcaafb642febf53e71377.m3u8,,,,,,,1280x720,CCSH.txt,6,403,成功,h264,25.0,有音频,1.214,156,128
CCTV14,https://www.freetv.top/migu/624878440.m3u8?migutoken=db2a84fa1a47ccda35261252e35f997e2e7083da0db8369cf0612848c30e97efb2851cf91c1ca38b261647c5e104e3ee881d60d1da85f1e4748958fe7c4d93689021888fe45fbaa99a6e1e45b9,,,,,,,1920x1080,CCSH.txt,524,200,成功,h264,30.0,有音频,0.724,140,116
CCTV11,https://stream1.freetv.fun/b0a1851b132a32c2caf37955097c561857438e3b9224ad437299c503249be6f4.m3u8,,,,,,,1280x720,CCSH.txt,23,403,成功,h264,25.0,有音频,1.239,156,128
CCTV13,https://stream1.freetv.fun/3a63799dd08492a3543a3676a9029d110e51ad0ce3573faeb844f5dcd6b24767.m3u8,,,,,,,1280x720,CCSH.txt,6,403,成功,h264,25.0,有音频,1.427,156,128
CCTV10,https://stream1.freetv.fun/0937483bd03ffa7801b20d2dd1857d0806bb69dbd4a947475f1511d7d448c44a.m3u8,,,,,,,1280x720,CCSH.txt,105,403,成功,h264,25.0,有音频,1.191,156,128
CCTV14,https://stream1.freetv.fun/bc531e821958f0ef54aa8db7c21b4d6ff4f24b302caa6659b0900e901e29bda2.m3u8,,,,,,,1280x720,CCSH.txt,5,403,成功,h264,25.0,有音频,1.451,156,128
CCTV10,https://stream1.freetv.fun/f469851fa4b0067631736e4bded110d5c7590a800adc30e535c02044b6301a09.m3u8,,,,,,,1280x720,CCSH.txt,102,403,成功,h264,25.0,有音频,1.221,156,128
CCTV11,https://stream1.freetv.fun/883cf5ed5a80c6930564927ac008c9239378987db7d355ae42e6634b9dc86bbc.m3u8,,,,,,,1280x720,CCSH.txt,102,403,成功,h264,25.0,有音频,1.224,156,128
CCTV15,https://stream1.freetv.fun/05c59142eeb716bb8448d69b52d02357573b651462d2c14b60cdfce47deb124e.m3u8,,,,,,,1280x720,CCSH.txt,7,403,成功,h264,25.0,有音频,1.265,156,128
CCTV10,https://www.freetv.top/migu/624878405.m3u8?migutoken=a825f44b603419477b95fed9f1e947fea9e27bcde29c94cf67aec76845bd588aa5c9914b79d29cb3014756c2909a95f0941589b5faaddc8b9eba64ec444d9c9999083bc0240af4f194167d81e3,,,,,,,1920x1080,CCSH.txt,290,200,成功,h264,30.0,有音频,1.020,140,116
CCTV11,https://stream1.freetv.fun/68c070855220396db2e41066321af8293ced387cb0158997b30c961f539a0433.m3u8,,,,,,,1280x720,CCSH.txt,104,403,成功,h264,25.0,有音频,1.228,156,128
CCTV13,https://stream1.freetv.fun/ff24d77ced50923220b10cafbe5ffaeb6cb8c38a4b5cf52c0fc09d0ce4ef93b3.m3u8,,,,,,,1280x720,CCSH.txt,28,403,成功,h264,25.0,有音频,1.652,156,128
CCTV13,https://www.freetv.top/migu/608807423.m3u8?migutoken=b0ebf450385413f8d70e72a92ceba03e41170d59df1374472666311b9a1b26c2665ac29d287ef869f8998593325508eed5b09a4020d14bc557a3fe580eea0c0f4c2c13a4581ddb400575b8d3e9,,,,,,,1920x1080,CCSH.txt,236,200,成功,h264,30.0,有音频,1.096,140,116
CCTV10,https://stream1.freetv.fun/7d9ec2d79c502c67b791e5edfa7d2b7a8da27cc1196fe4a011e67e8bc54c886d.m3u8,,,,,,,1280x720,CCSH.txt,106,403,成功,h264,25.0,有音频,1.220,156,128
CCTV16,https://stream1.freetv.fun/cdd93308f8ffbb06fab05e75d7c91d7ec6d9c68d865738572b52b3e8c959cf14.m3u8,,,,,,,1280x720,CCSH.txt,6,403,成功,h264,25.0,有音频,1.185,156,128
CCTV8,https://www.freetv.top/migu/624878356.m3u8?migutoken=6dccb38c956e0bb4edee41c25621f99cedfb18e4ce661f2543a392a7a50d305d1f4764210e01011a2b0cc1d14cf85264aae641856c2e6c7b6414088973a624170f2087daecc28e8944035c7490,,,,,,,1920x1080,CCSH.txt,239,200,成功,h264,30.0,有音频,1.120,128,104
CCTV8,https://www.freetv.top/migu/624878356.m3u8?migutoken=0a76cbc0bc4ad3f543ea840f676f97981a6e915839a57cc8d1b693f680273e8fa445b7accee1b44eeaa3d77c9c020cb6582b3e96d0f07aeb2f965b3ed20f968f94a9d3064ca1a4249d3e9911c9,,,,,,,1920x1080,CCSH.txt,245,200,成功,h264,30.0,有音频,1.107,140,116
CCTV10,https://stream1.freetv.fun/47f2da5e9e93a257e9c47aeccfacef9ddb6665ab0752caa93aa4c6e3583ec64f.m3u8,,,,,,,1280x720,CCSH.txt,7,403,成功,h264,25.0,有音频,1.217,156,128
CCTV11,https://stream1.freetv.fun/6123793b04047f9d1985cdab1ce37c47bee9c9b8668d8e453b5242a2bb62d3f3.m3u8,,,,,,,1280x720,CCSH.txt,101,403,成功,h264,25.0,有音频,1.237,156,128
CCTV7,https://www.freetv.top/migu/673168121.m3u8?migutoken=e78f83938702d1bbe1b942fbec9a4863f5e3233d946d4cb9d5650315c000e4b18fbeeecf6ea2debe700775517292edb56b8b5d596b464d112fbf4dc3fab926b0f9ec01cf52b7a4a97b4be82ad4,,,,,,,1920x1080,CCSH.txt,257,200,成功,h264,30.0,有音频,0.907,140,116
CCTV15,https://stream1.freetv.fun/b77d28e93a72e1987b7985d26fca84a6570c7c9d995e00ed7dfd78faba44c7a7.m3u8,,,,,,,1280x720,CCSH.txt,8,403,成功,h264,25.0,有音频,1.228,156,128
CCTV7,https://www.freetv.top/migu/673168121.m3u8?migutoken=44446ab398991313e6a822efdaec82f3b845a2e8f141c172aa857c477255724bbb28fc01d33f764c51106c446af1c57e8815b58822075b194f4cf55cde28fe55f54330d4586c92e75e8aa50a48,,,,,,,1920x1080,CCSH.txt,241,200,成功,h264,30.0,有音频,0.731,128,104
CCTV11,https://stream1.freetv.fun/f55a0dc8c0307b296b9df7bbb1e751b12df6f8cad452f9693311ca7bab34e245.m3u8,,,,,,,1280x720,CCSH.txt,7,403,成功,h264,25.0,有音频,1.250,156,128
CCTV15,https://stream1.freetv.fun/73a759287d0886162dd6b7f71f9011eebf7849ffdc85ad172bb4285f3e4f419e.m3u8,,,,,,,1280x720,CCSH.txt,7,403,成功,h264,25.0,有音频,1.219,156,128
CCTV15,https://stream1.freetv.fun/22af5d7dab8dd2e8ed48ebe1b0eea9814783aa03554f5aff41f4e3ac07adb8a4.m3u8,,,,,,,1280x720,CCSH.txt,15,403,成功,h264,25.0,有音频,1.260,156,128
湖南卫视,https://stream1.freetv.fun/8f9c1b950218b09e8fb1b0d6b7416bdf4a4635a03c2f67f7880010d106038137.m3u8,,,,,,,1280x720,CCSH.txt,10,403,成功,h264,25.0,有音频,1.400,156,128
