频道名,地址,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件,检测时间,状态码,ffprobe是否成功,视频编码,分辨率.1,帧率,音频,ffprobe探测时间,当前动态级,历史动态级,phash重复指数,主phash值,phash唯一指数,phash有效样本数,主phash时间跨度(天),源动态分类
湖北卫视,https://t.freetv.fun/live/hu-bei-wei-shi-5.m3u8,,,,,,,1920x1080,CCSH.txt,6,403,成功,h264,1920x1080,50.0,有音频,4.22,1.0,3.0,2.0,95966b49394b391b,36.0,57,0.0,动态源
陕西卫视,http://219.146.95.58:59902/tsfile/live/0136_1.m3u8?txiptv,,,,,,,720x576,CCSH.txt,508,200,成功,h264,720x576,50.0,有音频,8.197,5.0,9.0,0.0,bdc561b24a4f071b,3.0,3,0.0,待观察
青海卫视,https://stream1.freetv.fun/d6cb8a9b2d3d4f555418141ecb008cc61e84a6278690a855241eb57bf43fdf75.m3u8,,,,,,,854x480,CCSH.txt,17,403,成功,h264,854x480,25.0,有音频,2.696,,,,,,0,0.0,待观察
河南卫视,http://111.61.236.247:9081/hls/33/index.m3u8,,,,,,,1920x1080,CCSH.txt,317,200,成功,h264,1920x1080,50.0,有音频,3.261,1.0,3.0,1.0,c5b21ae911b633ae,36.0,39,0.0,动态源
凤凰中文,http://iptv.4666888.xyz/iptv2A.php?id=60,,,,,,,1024x576,CCSH.txt,226,200,成功,h264,1024x576,25.0,有音频,0.577,5.0,9.0,,,0.0,0,0.0,待观察
青海卫视,https://www.freetv.top/migu/947472506.m3u8?migutoken=1f19e5986a0a2ef4e7a8d09edf9a6b8faf270d5320ef4f13eaa876ea8a3ecc2263d1cd2dacb91ceadd6c38af23137707d164462be4cee5d1357c3a8289e0f87ebbce11f5d97c0daa3ac94ae7a1,,,,,,,1920x1080,CCSH.txt,361,200,成功,h264,1920x1080,30.0,有音频,0.588,6.0,9.0,5.0,c1c1c19d7e666363,1.0,6,0.0,待观察
贵州卫视,https://t.freetv.fun/live/gui-zhou-wei-shi-3.php,,,,,,,1920x1080,CCSH.txt,6,403,成功,h264,1920x1080,25.0,有音频,3.361,5.0,3.0,0.0,cad6dbc8c4ca85c9,6.0,6,0.0,动态源
湖北卫视,https://www.freetv.top/migu/947472496.m3u8?migutoken=a0d3d4746f5f5ebc6256858260e7fbf0e8dcad5d53c1d3fdc9b21b845c2c11c156749647c986b592ae976e73ce070a3bf2041defd1e589e279ae7901816a6fe090249e848895b790bd8789823d,,,,,,,1920x1080,CCSH.txt,228,200,成功,h264,1920x1080,30.0,有音频,0.573,6.0,9.0,5.0,c1c1c19d7e666363,1.0,6,0.0,待观察
TVB无线新闻,https://t.freetv.fun/live/wu-xian-xin-wen-1.m3u8,,,,,,,1920x1080,CCSH.txt,8,403,成功,h264,1920x1080,30.0,无音频,0.936,2.0,1.0,2.0,ac93d3c5e1c6a2d2,11.0,18,0.0,动态源
黑龙江卫视,https://t.freetv.fun/live/hei-long-jiang-wei-shi-6.m3u8,,,,,,,1920x1080,CCSH.txt,20,403,成功,h264,1920x1080,25.0,有音频,0.655,6.0,8.0,2.0,96534e2995c5ce8e,22.0,57,0.0,待观察
陕西卫视,http://183.11.239.36:808/hls/58/index.m3u8,,,,,,,720x576,CCSH.txt,466,200,成功,h264,720x576,25.0,有音频,19.304,5.0,9.0,,,0.0,0,0.0,待观察
凤凰资讯,https://mgev.188766.xyz/?migutoken=ff779d41b1e0441225844ea79c1e86f6&id=fhzx&pp=1,,,,,,,1280x720,CCSH.txt,1087,403,成功,h264,1280x720,25.0,有音频,2.064,,,,,,0,0.0,待观察
辽宁卫视,http://221.2.148.205:8154/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0,,,,,,,1920x1080,CCSH.txt,512,200,成功,h264,1920x1080,50.0,有音频,9.329,5.0,8.0,0.0,d88630f9e99314be,3.0,3,0.0,待观察
辽宁卫视,http://58.17.116.69:9903/tsfile/live/0121_2.m3u8?key=txiptv&playlive=0&authid=0,,,,,,,720x576,CCSH.txt,521,200,成功,h264,720x576,25.0,有音频,2.474,1.0,0.0,2.0,c3dc03bad423bac5,38.0,48,0.0,动态源
凤凰香港,https://t.freetv.fun/live/feng-huang-xiang-gang.m3u8,,,,,,,1920x1080,CCSH.txt,6,403,成功,h264,1920x1080,30.0,无音频,1.108,1.0,3.0,5.0,cd92b66996816b96,9.0,15,0.0,动态源
人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/playlist.m3u8,,,,,,,1280x720,CCSH.txt,516,200,成功,h264,1280x720,29.97002997002997,有音频,2.839,1.0,0.0,1.0,ecac935c48d1fa1c,51.0,57,0.0,动态源
河南卫视,http://113.15.109.216:59901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0,,,,,,,720x576,CCSH.txt,235,200,成功,h264,720x576,50.0,有音频,2.681,5.0,3.0,2.0,c9a5b52dad27026b,27.0,33,0.0,动态源
青海卫视,http://120.76.248.139/live/bfgd/4200000111.m3u8,,,,,,,1920x1080,CCSH.txt,350,200,成功,h264,1920x1080,50.0,有音频,2.466,2.0,3.0,1.0,bc9ec9430db8f740,14.0,18,0.0,动态源
西藏卫视,http://36.32.174.67:60080/newlive/live/hls/48/live.m3u8,,,,,,,720x576,CCSH.txt,456,200,成功,h264,720x576,25.0,有音频,3.715,5.0,0.0,0.0,eae2923918f31ad9,54.0,54,0.0,动态源
辽宁卫视,http://61.156.228.12:8154/tsfile/live/0121_1.m3u8,,,,,,,1920x1080,CCSH.txt,514,200,成功,h264,1920x1080,50.0,有音频,13.074,5.0,9.0,2.0,c3dc03bad423bac5,1.0,3,0.0,待观察
凤凰资讯,https://t.freetv.fun/live/feng-huang-zi-xun.m3u8,,,,,,,1920x1080,CCSH.txt,6,403,成功,h264,1920x1080,30.0,无音频,0.654,6.0,1.0,7.0,cd92b66996816b96,41.0,57,0.0,动态源
香港卫视,http://webcast.hkstv.tv/livestream/mutfysrq/playlist.m3u8,,,,,,,1280x720,CCSH.txt,1279,502,成功,h264,1280x720,25.0,有音频,3.663,6.0,5.0,2.0,d93eb32339c22cd1,27.0,57,0.0,待观察
兵团卫视,http://go.bkpcp.top/mg/btws,,,,,,,1920x1080,CCSH.txt,15,200,成功,h264,1920x1080,25.0,有音频,7.929,1.0,1.0,0.0,9eb265457a726951,48.0,48,0.0,动态源
湖北卫视,https://t.freetv.fun/live/hu-bei-wei-shi-9.m3u8,,,,,,,1920x1080,CCSH.txt,7,403,成功,h264,1920x1080,25.0,有音频,0.752,6.0,8.0,2.0,b63cc8c25217a797,21.0,57,0.0,待观察
星空卫视,http://111.221.137.155:44330/tsfile/live/0139_1.m3u8?key=txiptv,,,,,,,720x576,CCSH.txt,496,200,成功,h264,720x576,50.0,有音频,4.554,5.0,2.0,1.0,dc2b86fe10dd1cd0,35.0,42,0.0,动态源
辽宁卫视,https://t.freetv.fun/live/liao-zhu-wei-shi.php,,,,,,,1920x1080,CCSH.txt,13,403,成功,h264,1920x1080,50.0,有音频,4.724,5.0,1.0,2.0,c3dc03bad423bac5,42.0,45,0.0,动态源
辽宁卫视,https://t.freetv.fun/live/liao-zhu-wei-shi-7.php,,,,,,,1920x1080,CCSH.txt,9,403,成功,hevc,1920x1080,25.0,有音频,4.086,5.0,6.0,2.0,f309ccc738937913,14.0,27,0.0,待观察
三沙卫视,http://nn.7x9d.cn/地方台8563/海南.php?id=ssws,,,,,,,1280x720,CCSH.txt,5160,200,成功,h264,1280x720,25.0,有音频,4.941,1.0,0.0,0.0,e65eb4f3817c9414,51.0,51,0.0,动态源
安多卫视,https://t.freetv.fun/live/an-duo-wei-shi.m3u8,,,,,,,1920x1080,CCSH.txt,12,403,成功,h264,1920x1080,25.0,有音频,6.34,1.0,2.0,7.0,886c629acecb38ed,43.0,51,0.0,动态源
西藏卫视,http://120.238.94.10:9901/tsfile/live/1077_1.m3u8,,,,,,,720x576,CCSH.txt,508,200,成功,h264,720x576,25.0,有音频,3.742,1.0,0.0,1.0,90d33ee4ed1e1e41,38.0,39,0.0,动态源
河南卫视,https://t.freetv.fun/live/he-nan-wei-shi-11.m3u8,,,,,,,1920x1080,CCSH.txt,21,403,成功,h264,1920x1080,28.0,有音频,0.906,1.0,1.0,2.0,cce6739998268b0f,18.0,21,0.0,动态源
青海卫视,http://153.0.171.163:9901/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0,,,,,,,720x576,CCSH.txt,1157,200,成功,h264,720x576,25.0,有音频,1.998,1.0,2.0,1.0,bcd8962762666764,28.0,33,0.0,动态源
TVB娱乐新闻,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct2,,,,,,,1920x1080,CCSH.txt,63,200,成功,h264,1920x1080,25.0,有音频,1.262,6.0,7.0,2.0,e6accaec88713363,24.0,57,0.0,待观察
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx2,,,,,,,1280x720,CCSH.txt,4655,200,成功,h264,1280x720,30.0,有音频,3.334,6.0,4.0,2.0,cccad232368e0f6b,6.0,12,0.0,动态源
重庆卫视,https://hlsbkmgsplive.miguvideo.com/envivo_x/2018/SD/chongqing/1000/01.m3u8?&HlsSubType=&encrypt=,,,,,,,854x480,CCSH.txt,237,200,成功,h264,854x480,25.0,有音频,3.679,,,,,,0,0.0,待观察
湖北卫视,http://www.745612.xyz:7788/rtp/235.254.198.72:1564,,,,,,,1920x1080,CCSH.txt,618,200,成功,h264,1920x1080,25.0,有音频,6.319,5.0,3.0,0.0,ad6cd23369b32383,30.0,30,0.0,动态源
内蒙古卫视,https://migu.188766.xyz/?migutoken=be0177d26cbcf0bd0c3be0d02e8badba&id=%E5%86%85%E8%92%99%E5%8F%A4%E5%8D%AB%E8%A7%86&pp=1,,,,,,,1920x1080,CCSH.txt,24,403,成功,h264,1920x1080,25.0,有音频,11.412,,,,,,0,0.0,待观察
贵州卫视,http://222.214.208.34:59901/tsfile/live/0120_1.m3u8,,,,,,,1920x1080,CCSH.txt,497,200,成功,h264,1920x1080,25.0,有音频,2.837,2.0,0.0,1.0,8938a77692c75695,30.0,36,0.0,动态源
贵州卫视,http://120.76.248.139/live/bfgd/4200000101.m3u8,,,,,,,1920x1080,CCSH.txt,364,200,成功,h264,1920x1080,50.0,有音频,2.115,5.0,5.0,1.0,905f8fdd8aa270b4,13.0,15,0.0,待观察
湖北卫视,https://t.freetv.fun/live/hu-bei-wei-shi-2.php,,,,,,,1920x1080,CCSH.txt,5,403,成功,hevc,1920x1080,25.0,有音频,4.122,5.0,4.0,2.0,a41fc83f525aa5a5,20.0,30,0.0,动态源
青海卫视,http://120.238.94.10:9901/tsfile/live/1073_1.m3u8,,,,,,,720x576,CCSH.txt,496,200,成功,h264,720x576,25.0,有音频,7.565,5.0,2.0,0.0,dd4da71689d80997,36.0,36,0.0,动态源
TVB无线新闻,https://t.freetv.fun/live/wu-xian-xin-wen-3.m3u8,,,,,,,1920x1080,CCSH.txt,29,403,成功,h264,1920x1080,25.0,有音频,0.632,1.0,0.0,1.0,f1a7ce9d69863230,52.0,54,0.0,动态源
陕西卫视,http://112.46.85.60:8009/hls/17/index.m3u8,,,,,,,720x576,CCSH.txt,546,200,成功,h264,720x576,50.0,有音频,2.412,2.0,0.0,1.0,b7508b37c48c15dd,45.0,51,0.0,动态源
重庆卫视,http://tvbox6.icu/tv/migu.php?id=cqws,,,,,,,1920x1080,CCSH.txt,1542,200,成功,h264,1920x1080,30.0,有音频,8.288,5.0,9.0,,,0.0,0,0.0,待观察
凤凰中文,https://stream1.freetv.fun/08e5440bb83a804440e341ae792cffc38d6844b04d5a2c7a4fc5ee04a6fe6bc6.m3u8,,,,,,,1920x1080,CCSH.txt,5,403,成功,h264,1920x1080,30.0,无音频,0.938,1.0,1.0,5.0,cd92b66996816b96,46.0,57,0.0,动态源
辽宁卫视,http://drive.mxmy.net:8888/udp/239.3.1.210:8056,,,,,,,1920x1080,CCSH.txt,604,200,成功,h264,1920x1080,25.0,有音频,7.287,5.0,9.0,2.0,c3dc03bad423bac5,4.0,6,0.0,待观察
内蒙古卫视,http://111.61.236.247:9081/hls/48/index.m3u8,,,,,,,720x576,CCSH.txt,286,200,成功,h264,720x576,25.0,有音频,3.589,1.0,1.0,2.0,ed9bc232d465087d,44.0,51,0.0,动态源
西藏卫视,https://stream1.freetv.fun/2d4732535dbf229d6ed0ac2ff6c788cc4cabbffbb1d8f013d10219d582f93bf9.m3u8,,,,,,,720x576,CCSH.txt,21,403,成功,h264,720x576,25.0,有音频,3.357,5.0,0.0,0.0,d6570cf029f594a9,54.0,54,0.0,动态源
黑龙江卫视,http://124.116.183.146:9901/tsfile/live/0143_1.m3u8,,,,,,,720x576,CCSH.txt,607,200,成功,h264,720x576,25.0,有音频,7.225,1.0,0.0,2.0,b4e08f4b3d53d948,49.0,51,0.0,动态源
TVB翡翠,http://cdn9.163189.xyz/smt1.1.php?id=jade_twn,,,,,,,1280x720,CCSH.txt,1346,200,成功,h264,1280x720,25.0,有音频,0.495,6.0,7.0,2.0,d1ab564b8552a78e,11.0,27,0.0,待观察
陕西卫视,https://t.freetv.fun/live/shan-xi-wei-shi.m3u8,,,,,,,720x576,CCSH.txt,7,403,成功,h264,720x576,25.0,有音频,3.83,5.0,0.0,1.0,9233cc694f2d439e,50.0,54,0.0,动态源
凤凰资讯,https://t.freetv.fun/live/feng-huang-zi-xun-1.m3u8,,,,,,,1920x1080,CCSH.txt,4,403,成功,h264,1920x1080,30.0,无音频,0.888,1.0,0.0,2.0,8e82a12d16e9dbba,49.0,57,0.0,动态源
大湾区卫视,https://migu.188766.xyz/?migutoken=259ec4a86e041c55cf61afa800c22a6c&id=%E5%A4%A7%E6%B9%BE%E5%8C%BA%E5%8D%AB%E8%A7%86&type=yy,,,,,,,854x480,CCSH.txt,35,403,成功,h264,854x480,25.0,有音频,4.314,,,,,,0,0.0,待观察
凤凰香港,https://mgev.188766.xyz/?migutoken=6663da0bb2a813b108dbc14c575be154&id=fhhk&pp=1,,,,,,,1280x720,CCSH.txt,44,403,成功,h264,1280x720,25.0,有音频,2.149,,,,,,0,0.0,待观察
河南卫视,https://t.freetv.fun/live/he-nan-wei-shi-20.m3u8,,,,,,,1920x1080,CCSH.txt,7,403,成功,h264,1920x1080,50.0,有音频,3.196,5.0,2.0,1.0,b5211f96b4c51697,30.0,36,0.0,动态源
陕西卫视,http://219.146.95.58:59902/tsfile/live/0136_1.m3u8,,,,,,,720x576,CCSH.txt,525,200,成功,h264,720x576,50.0,有音频,8.741,5.0,9.0,0.0,a1b072794c47475f,3.0,3,0.0,待观察
兵团卫视,https://migu.188766.xyz/?migutoken=9e721aa524a172e0e0e617c9190d53ea&id=%E5%85%B5%E5%9B%A2%E5%8D%AB%E8%A7%86&type=yy,,,,,,,1280x720,CCSH.txt,58,403,成功,h264,1280x720,25.0,有音频,3.239,6.0,9.0,2.0,e4f8b017169cdd8c,2.0,6,0.0,待观察
TVB星河,https://o11.163189.xyz/stream/live/tvbxh/,,,,,,,1920x1080,CCSH.txt,125,200,成功,h264,1920x1080,50.0,有音频,4.362,,,,,,0,0.0,待观察
三沙卫视,https://stream1.freetv.fun/san-sha-wei-shi-5.m3u8,,,,,,,1280x720,CCSH.txt,9,403,成功,h264,1280x720,25.0,有音频,4.179,,,,,,0,0.0,待观察
辽宁卫视,http://218.17.33.178:53290/tsfile/live/0121_1.m3u8?key=txiptv,,,,,,,1920x1080,CCSH.txt,222,200,成功,h264,1920x1080,50.0,有音频,2.309,2.0,1.0,2.0,c3dc03bad423bac5,36.0,45,0.0,动态源
辽宁卫视,https://migu.188766.xyz/?migutoken=ef2f73363482bbffc93c1b693944303d&id=%E8%BE%BD%E5%AE%81%E5%8D%AB%E8%A7%86&type=yy,,,,,,,1920x1080,CCSH.txt,44,403,成功,h264,1920x1080,28.0,有音频,0.561,2.0,0.0,1.0,eee3c63997c69018,6.0,9,0.0,动态源
重庆卫视,https://t.freetv.fun/live/zhong-qing-wei-shi-9.m3u8,,,,,,,1920x1080,CCSH.txt,17,403,成功,h264,1920x1080,25.0,有音频,0.57,2.0,7.0,2.0,fcf2233086fc219d,23.0,57,0.0,动态源
辽宁卫视,https://stream1.freetv.fun/4fa75925fb00aa051c6819346628eb0cd8bafd14f8231c9166b8a5209111db07.m3u8,,,,,,,1920x1080,CCSH.txt,15,403,成功,h264,1920x1080,50.0,有音频,17.667,5.0,1.0,2.0,c3dc03bad423bac5,28.0,30,0.0,动态源
内蒙古卫视,http://61.156.228.12:8154/tsfile/live/0109_1.m3u8,,,,,,,720x576,CCSH.txt,237,200,成功,h264,720x576,50.0,有音频,2.46,5.0,3.0,1.0,e8a80f57c097175b,21.0,24,0.0,动态源
TVB明珠,http://hls.168.us.kg/u/84/master.m3u8,,,,,,,1920x1080,CCSH.txt,1588,200,成功,h264,1920x1080,25.0,有音频,1.285,6.0,9.0,2.0,916b54ab55287db4,20.0,57,0.0,待观察
陕西卫视,http://cssbyd.imwork.net:8082/hls/42/index.m3u8,,,,,,,720x576,CCSH.txt,1250,200,成功,h264,720x576,25.0,有音频,3.898,1.0,1.0,1.0,d27c49d17ecb0c32,19.0,24,0.0,动态源
TVB翡翠,https://o11.163189.xyz/stream/tvb/fct/,,,,,,,1920x1080,CCSH.txt,1664,200,成功,h264,1920x1080,25.0,有音频,0.742,6.0,6.0,2.0,d4ac85c71ec612ed,16.0,36,0.0,待观察
农林卫视,http://124.116.183.146:9901/tsfile/live/1004_1.m3u8,,,,,,,720x576,CCSH.txt,609,200,成功,h264,720x576,50.0,有音频,3.821,2.0,0.0,1.0,b5f493ac84ae48ce,47.0,51,0.0,动态源
陕西卫视,http://221.2.148.205:8154/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0,,,,,,,720x576,CCSH.txt,553,200,成功,h264,720x576,50.0,有音频,2.376,5.0,1.0,1.0,8758a452ae2f568f,22.0,24,0.0,动态源
辽宁卫视,http://120.76.248.139/live/bfgd/4200000185.m3u8,,,,,,,720x576,CCSH.txt,600,200,成功,mpeg2video,720x576,25.0,有音频,2.819,5.0,9.0,2.0,8b5d626ed4269593,3.0,9,0.0,待观察
TVB翡翠,http://php.jdshipin.com/TVOD/iptv.php?id=fct2,,,,,,,1920x1080,CCSH.txt,1524,200,成功,h264,1920x1080,25.0,有音频,0.492,6.0,7.0,2.0,f3b99b0738e44b81,24.0,57,0.0,待观察
湖北卫视,https://migu.188766.xyz/?migutoken=28e3fca758da2dd2f30b6475cb965890&id=%E6%B9%96%E5%8C%97%E5%8D%AB%E8%A7%86&type=yy,,,,,,,1280x720,CCSH.txt,37,403,成功,h264,1280x720,25.0,有音频,3.394,2.0,0.0,1.0,9393e461d9bc0ed1,4.0,6,0.0,动态源
TVB无线新闻,http://hls.168.us.kg/u/83/master.m3u8,,,,,,,1920x1080,CCSH.txt,236,200,成功,h264,1920x1080,25.0,有音频,1.247,6.0,8.0,2.0,9c983ebeb8acb0c1,20.0,54,0.0,待观察
兵团卫视,https://stream1.freetv.fun/11cd528da0063d7ef3db744cdc208904f48127c954b57c0ddec15afbe9f12dc4.m3u8,,,,,,,720x576,CCSH.txt,5,403,成功,h264,720x576,50.0,有音频,12.91,5.0,9.0,,,0.0,0,0.0,待观察
湖北卫视,http://120.76.248.139/live/bfgd/4200000102.m3u8,,,,,,,1920x1080,CCSH.txt,230,200,成功,h264,1920x1080,50.0,有音频,2.214,1.0,4.0,2.0,d554a2629f899d66,14.0,18,0.0,动态源
TVB翡翠,http://php.jdshipin.com/TVOD/iptv.php?id=fct4,,,,,,,3840x2160,CCSH.txt,1596,200,成功,hevc,3840x2160,50.0,有音频,1.29,6.0,9.0,2.0,cc3333cccc3333cc,2.0,6,0.0,待观察
三沙卫视,https://migu.188766.xyz/?migutoken=23669a6e83ec491c21bab215f4b41c22&id=hn_ssws&type=sz,,,,,,,1920x1080,CCSH.txt,57,403,成功,h264,1920x1080,28.0,有音频,0.496,1.0,0.0,2.0,fc87622b443cb3c6,30.0,36,0.0,动态源
重庆卫视,http://123.129.70.178:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0,,,,,,,1920x1080,CCSH.txt,254,200,成功,h264,1920x1080,25.0,有音频,10.611,5.0,2.0,0.0,e3e07a78cc07630f,21.0,21,0.0,动态源
西藏卫视,http://tvbox6.icu/tv/migu.php?id=xzws,,,,,,,1920x1080,CCSH.txt,4795,200,成功,h264,1920x1080,30.0,有音频,9.342,5.0,9.0,,,0.0,0,0.0,待观察
甘肃卫视,http://tvlist.top/jd/index.php?id=live1053&qt=tkmark.direct.quickconnect.to:8014,,,,,,,1920x1080,CCSH.txt,4679,200,成功,h264,1920x1080,50.0,有音频,2.843,1.0,0.0,1.0,fa7da51ada28e504,42.0,45,0.0,动态源
TVB无线新闻,http://bxtv.3a.ink/api.php?id=wxxw,,,,,,,1920x1080,CCSH.txt,1135,200,成功,hevc,1920x1080,50.0,有音频,1.884,2.0,5.0,2.0,ca9555aa6a55a5aa,13.0,27,0.0,动态源
河南卫视,http://153.0.171.163:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0,,,,,,,720x576,CCSH.txt,509,200,成功,h264,720x576,25.0,有音频,2.839,5.0,1.0,1.0,856ab04dc573b70b,11.0,12,0.0,动态源
西藏卫视,http://221.2.148.205:8154/tsfile/live/0111_1.m3u8,,,,,,,1920x1080,CCSH.txt,252,200,成功,h264,1920x1080,50.0,有音频,5.402,5.0,7.0,0.0,c7619cef0782b8f0,6.0,6,0.0,待观察
辽宁卫视,https://migu.188766.xyz/?migutoken=36c4d1144ed98abb5b14c2210cb24362&id=%E8%BE%BD%E5%AE%81%E5%8D%AB%E8%A7%86&type=yy,,,,,,,1280x720,CCSH.txt,49,403,成功,h264,1280x720,25.0,有音频,3.165,2.0,0.0,1.0,c876d2cba4a7d44a,4.0,6,0.0,动态源
河南卫视,http://cssbyd.imwork.net:8082/hls/37/index.m3u8,,,,,,,720x576,CCSH.txt,1279,200,成功,h264,720x576,25.0,有音频,3.44,2.0,0.0,1.0,f17b5e7948b02998,44.0,51,0.0,动态源
农林卫视,http://124.116.183.146:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0,,,,,,,720x576,CCSH.txt,607,200,成功,h264,720x576,50.0,有音频,3.555,1.0,0.0,1.0,e08f8f529850adbd,45.0,51,0.0,动态源
陕西卫视,https://t.freetv.fun/live/shan-xi-wei-shi-3-1.m3u8,,,,,,,1920x1080,CCSH.txt,23,403,成功,h264,1920x1080,25.0,有音频,0.87,1.0,4.0,2.0,b66b4a011b1f4bc7,38.0,57,0.0,动态源
湖北卫视,http://111.221.137.234:44330/tsfile/live/0139_1.m3u8?key=txiptv&playlive=0&authid=0,,,,,,,1280x720,CCSH.txt,487,200,成功,h264,1280x720,25.0,有音频,1.926,5.0,2.0,2.0,c33c38c78d78078f,34.0,54,0.0,动态源
贵州卫视,http://113.15.109.216:59901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0,,,,,,,720x576,CCSH.txt,233,200,成功,h264,720x576,50.0,有音频,2.484,2.0,3.0,1.0,e1c38440bf1f077e,29.0,33,0.0,动态源
湖北卫视,http://61.156.228.12:8154/tsfile/live/0132_1.m3u8,,,,,,,1920x1080,CCSH.txt,236,200,成功,h264,1920x1080,25.0,有音频,14.003,5.0,9.0,,,0.0,0,0.0,待观察
辽宁卫视,http://111.221.137.234:44330/tsfile/live/0123_1.m3u8?key=txiptv&playlive=0&authid=0,,,,,,,1280x720,CCSH.txt,244,200,成功,h264,1280x720,25.0,有音频,3.451,5.0,2.0,2.0,c7ef3266cc069989,34.0,51,0.0,动态源
内蒙古卫视,http://tvbox6.icu/tv/migu.php?id=nmws,,,,,,,1920x1080,CCSH.txt,1587,200,成功,h264,1920x1080,30.0,有音频,8.396,5.0,9.0,,,0.0,0,0.0,待观察
TVB明珠,http://php.jdshipin.com:8880/TVOD/iptv.php?id=mzt,,,,,,,1920x1080,CCSH.txt,1296,200,成功,h264,1920x1080,25.0,有音频,0.741,2.0,8.0,2.0,c44141ab55aff786,21.0,57,0.0,动态源
青海卫视,https://stream1.freetv.fun/qing-hai-wei-shi-3.m3u8,,,,,,,854x480,CCSH.txt,23,403,成功,h264,854x480,25.0,有音频,2.899,2.0,4.0,2.0,e3c731c0f1c3c3e1,18.0,30,0.0,动态源
TVB明珠,http://php.jdshipin.com/TVOD/iptv.php?id=mzt,,,,,,,1920x1080,CCSH.txt,1038,200,成功,h264,1920x1080,25.0,有音频,0.477,6.0,7.0,2.0,f44a422d47af6687,24.0,57,0.0,待观察
凤凰资讯,http://iptv.4666888.xyz/iptv2A.php?id=61,,,,,,,1024x576,CCSH.txt,4640,200,成功,h264,1024x576,25.0,有音频,1.219,5.0,9.0,,,0.0,0,0.0,待观察
湖北卫视,http://221.2.148.205:8154/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0,,,,,,,1920x1080,CCSH.txt,244,200,成功,h264,1920x1080,25.0,有音频,6.104,5.0,8.0,0.0,f1cb9e369184dc98,3.0,3,0.0,待观察
青海卫视,http://tvbox6.icu/tv/migu.php?id=qhws,,,,,,,1920x1080,CCSH.txt,1532,200,成功,h264,1920x1080,30.0,有音频,9.195,5.0,9.0,,,0.0,0,0.0,待观察
黑龙江卫视,http://113.15.109.216:59901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0,,,,,,,720x576,CCSH.txt,470,200,成功,h264,720x576,50.0,有音频,2.218,5.0,3.0,2.0,b4e08f4b3953d968,29.0,36,0.0,动态源
TVB明珠,https://o11.163189.xyz/stream/tvb/mzt/,,,,,,,1920x1080,CCSH.txt,1332,200,成功,h264,1920x1080,25.0,有音频,0.471,6.0,9.0,2.0,ce42412e5727f786,13.0,36,0.0,待观察
大湾区卫视,http://8.138.7.223/tv/gd.php?id=0008,,,,,,,1920x1080,CCSH.txt,4321,200,成功,h264,1920x1080,30.0,有音频,7.754,5.0,9.0,,,0.0,0,0.0,待观察
凤凰中文,http://php.jdshipin.com:8880/smt.php?id=phoenixtv_hd,,,,,,,1280x720,CCSH.txt,445,200,成功,h264,1280x720,25.0,有音频,1.191,2.0,5.0,2.0,92eb932153255aed,12.0,21,0.0,动态源
青海卫视,https://stream1.freetv.fun/d07c5ec4397fbc7f5e7cc384b2ea73f4109d928e2b68474fc1ef6041cb976744.m3u8,,,,,,,720x576,CCSH.txt,20,403,成功,h264,720x576,50.0,有音频,6.325,5.0,2.0,1.0,d04f2fd061bd411f,38.0,39,0.0,动态源
辽宁卫视,http://gfr.x3322.net:9901/tsfile/live/1097_1.m3u8,,,,,,,1920x1080,CCSH.txt,2565,200,成功,h264,1920x1080,50.0,有音频,3.655,1.0,4.0,2.0,c3dc03bad423bac5,24.0,27,0.0,动态源
重庆卫视,http://113.15.109.216:59901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0,,,,,,,720x576,CCSH.txt,233,200,成功,h264,720x576,50.0,有音频,2.232,2.0,4.0,2.0,ab429c49f637e10b,21.0,27,0.0,动态源
大湾区卫视,http://tvbox6.icu/tv/migu.php?id=dwqws,,,,,,,1920x1080,CCSH.txt,4247,200,成功,h264,1920x1080,30.0,有音频,9.191,5.0,9.0,,,0.0,0,0.0,待观察
西藏卫视,https://t.freetv.fun/live/xi-cang-wei-shi-11.m3u8,,,,,,,720x576,CCSH.txt,5,403,成功,h264,720x576,25.0,有音频,3.602,5.0,0.0,0.0,c3d5946b2de35264,54.0,54,0.0,动态源
辽宁卫视,https://t.freetv.fun/live/liao-zhu-wei-shi-3.m3u8,,,,,,,1920x1080,CCSH.txt,24,403,成功,h264,1920x1080,50.0,有音频,7.744,1.0,1.0,2.0,89e41b97b6f2921a,37.0,57,0.0,动态源
